ID;Text
D2-126;The reality about the places that diamonds are found is that our planet might host enormous quantities of diamonds below its rocky surface. However, it is only the diamonds that are found at the surface of the earth that are commercially interesting for us. The rarity of diamonds derives mostly from a combination of the unique conditions beneath cratons that allow diamonds to survive on their journey to the surface, and also the violent means by which they travel. To put rarity of diamonds, their formation and challenges for mining them into perspective, we need to address that diamonds arrive at the surface of the earth through volcanic eruptions that bring high-pressure magma from the lower layers of the earth.
D2-127;Geothermobarometric calculations for a worldwide database of inclusions in diamond indicate that formation of the dominant harzburgitic diamond association occurred predominantly (90%) under subsolidus conditions. Diamonds in eclogitic and lherzolitic lithologies grew in the presence of a melt, unless their formation is related to strongly reducing CHO fluids that would increase the solidus temperature or occurred at pressure–temperature conditions below about 5 GPa and 1050 °C. Three quarters of peridotitic garnet inclusions in diamond classify as “depleted” due to their low Y and Zr contents but, based on LREEN–HREEN ratios invariably near or greater than one, they nevertheless reflect re-enrichment through either highly fractionated fluids or small amounts of melt.
D2-128;Diamonds are formed deep within the Earth’s mantle under extreme heat and pressure, typically at depths of 140 to 250 kilometers. They originate from carbon atoms that undergo crystallization due to temperatures exceeding 1,000°C and pressures above 45 gigapascals. Over millions to billions of years, these carbon atoms arrange into a strong lattice structure, giving diamonds their exceptional hardness. Volcanic eruptions then bring them closer to the surface through kimberlite and lamproite pipes. Diamonds can also form through high-pressure meteorite impacts or be created synthetically using high-pressure high-temperature (HPHT) or chemical vapor deposition (CVD) methods, which replicate natural processes to produce gem-quality diamonds in laboratories.
D2-129;Diamond is a solid form of the element carbon with its atoms arranged in a crystal structure called diamond cubic. Diamond as a form of carbon is tasteless, odourless, strong, brittle solid, colourless in pure form, a poor conductor of electricity, and insoluble in water. Another solid form of carbon known as graphite is the chemically stable form of carbon at room temperature and pressure, but diamond is metastable and converts to it at a negligible rate under those conditions. Diamond has the highest hardness and thermal conductivity of any natural material, properties that are used in major industrial applications such as cutting and polishing tools.
D2-130;Diamonds are formed deep within the Earth under extreme conditions of high pressure and temperature. These precious gemstones originate from carbon atoms located about 150 to 200 kilometers beneath the Earth's surface, within the mantle. The intense pressure and heat cause the carbon atoms to bond in a strong, crystalline structure, giving diamonds their exceptional hardness. The carbon-rich source material, often from ancient rocks and sediments, is subjected to tectonic forces, pushing it into the mantle. Over millions or even billions of years, these conditions transform the carbon into diamonds. This process is rare and slow, contributing to the gemstone's scarcity.
D2-131;X-ray diffraction is a technique used to determine the atomic and molecular structure of a crystal, where the crystalline atoms cause a beam of incident X-ray to diffract into many specific directions. This technique is based on the principle that the atoms in a crystal scatter X-rays, resulting in an interference pattern that can be used to determine the structure of the crystal. It has various applications in fields such as materials science, chemistry, and biology, including determining the structure of proteins, analyzing the composition of materials, and studying the properties of crystals and molecules.
D2-132;X-ray diffraction (XRD) is a powerful nondestructive technique for characterizing crystalline materials. It provides information on structures, phases, preferred crystal orientations (texture), and other structural parameters, such as average grain size, crystallinity, strain, and crystal defects. X-ray diffraction peaks are produced by constructive interference of a monochromatic beam of X-rays scattered at specific angles from each set of lattice planes in a sample. The peak intensities are determined by the distribution of atoms within the lattice. Consequently, the X-ray diffraction pattern is the fingerprint of periodic atomic arrangements in a given material. Max von Laue and Co., in 1912, discovered that crystalline substances act as three-dimensional diffraction gratings for X-ray wavelengths similar to the spacing of planes in a crystal.
D2-133;X-ray diffraction is a powerful analytical technique that reveals the atomic and molecular structure of crystalline materials. When X-rays—electromagnetic waves with wavelengths similar to atomic spacing—strike a crystalline sample, they interact with the electron clouds of atoms arranged in regular patterns. This causes the X-rays to scatter in specific directions based on the crystal's internal structure. The scattered waves interfere with each other, creating characteristic diffraction patterns that scientists can record and analyze. Following Bragg's law (nλ = 2d sinθ), researchers calculate precise distances between atomic planes. This technique revolutionized science, enabling the determination of DNA's double helix structure and countless protein structures. 
D2-134;X-ray diffraction (XRD) is a technique used to analyze the atomic and molecular structure of crystalline materials. When an X-ray beam is directed at a crystal, the X-rays interact with the electron clouds of the atoms and are scattered in different directions. Due to the regular arrangement of atoms, these scattered X-rays produce interference patterns that follow Bragg’s law, allowing scientists to determine the crystal structure, atomic spacing, and phase composition of a material. XRD is widely used in materials science, chemistry, geology, and biology, especially for identifying minerals, studying metal alloys, and solving the structure of biological macromolecules like DNA and proteins.
D2-135;X-ray diffraction (XRD) is a powerful non-destructive analytical technique used to reveal the internal structure of crystalline materials. X-rays directed at a sample are diffracted by the regularly spaced atoms within the crystal lattice, creating a unique pattern. Governed by Bragg's Law, this pattern serves as a precise fingerprint of the material's atomic arrangement. By analyzing the angles and intensities of these diffracted X-rays, scientists can determine crystal structure, lattice parameters, crystallite size, and identify different crystalline phases. Applications are broad, including material identification, quality control, mineral analysis, characterizing pharmaceutical compounds, and studying material stress.
