ID,Text,Labels
D2-1,"A covalent bond is a chemical bond that involves the sharing of electrons to form electron pairs between atoms. These electron pairs are known as shared pairs or bonding pairs. The stable balance of attractive and repulsive forces between atoms, when they share electrons, is known as covalent bonding. For many molecules, the sharing of electrons allows each atom to attain the equivalent of a full valence shell, corresponding to a stable electronic configuration. In organic chemistry, covalent bonding is much more common than ionic bonding. Covalent bonding also includes many kinds of interactions, including σ-bonding, π-bonding, metal-to-metal bonding, agostic interactions, bent bonds, three-center two-electron bonds and three-center four-electron bonds.",Human
D2-2,"A covalent bond forms when two atoms share one or more pairs of electrons, rather than transferring them as happens in ionic bonds. This sharing allows each atom to achieve a more stable electron configuration. Covalent bonds are fundamental to the chemistry of life - they hold together molecules like water, DNA, proteins, and carbohydrates. The strength and directionality of these bonds determine a molecule's shape, which in turn influences how it behaves and interacts with other molecules. Without covalent bonds, complex organic chemistry simply wouldn't exist, making them essential to biology, medicine, materials science, and countless industrial applications.",Anthropic
D2-3,"A covalent bond is a type of chemical bond where two atoms share one or more pairs of electrons to achieve stability. This typically occurs between nonmetal atoms, allowing them to fill their outer electron shells. Covalent bonds can be single, double, or triple, depending on the number of shared electron pairs. They are essential in forming molecules like water (H₂O), oxygen (O₂), and carbon dioxide (CO₂). These bonds can be polar, where electrons are shared unequally (as in H₂O), or nonpolar, where electrons are shared equally (as in O₂). Covalent bonds are generally strong and play a crucial role in biological molecules like DNA, proteins, and carbohydrates.",Anthropic
D2-4,"A covalent bond is a chemical bond that involves the sharing of electron pairs between atoms. This type of bond is typically formed between non-metal atoms and is characterized by the mutual attraction between the shared electrons and the nuclei of the participating atoms. Covalent bonds are relevant in understanding the structure and properties of molecules, as they determine the shape, polarity, and reactivity of the molecules, which in turn affects the physical and chemical properties of the substances they form, playing a crucial role in various fields such as chemistry, biology, and materials science.",Human
D2-5,"Driven by exciting developments in the field of nanotechnology, which is one of the most prominent research areas of our time, the demand of novel materials with precisely adjustable properties and structures has steadily increased, especially for the construction of electronic devices. The current approach following continuous downsizing of the structural patterns of silica-based semiconductors and other nanoelectronic devices is intrinsically limited by physical laws (top-down approach). To overcome this particular and important problem a promising, but chemically rather challenging alternative, the so called bottom-up approach, is nowadays extensively investigated. The underlying principle of this method is the linkage of nano-sized building block units to create larger areas of defined and highly ordered nanostructures.",Human
D2-6,"Ionic bonding results from the electrostatic attraction of oppositely charged ions that are typically produced by the transfer of electrons between metallic and nonmetallic atoms. A different type of bonding results from the mutual attraction of atoms for a “shared” pair of electrons. Such bonds are called covalent bonds. Covalent bonds are formed between two atoms when both have similar tendencies to attract electrons to themselves (i.e., when both atoms have identical or fairly similar ionization energies and electron affinities). For example, two hydrogen atoms bond covalently to form an H2 molecule; each hydrogen atom in the H2 molecule has two electrons stabilizing it, giving each atom the same number of valence electrons as the noble gas",Human
D2-7,"Plate tectonics is the scientific theory explaining how Earth's lithosphere—the rigid outer layer consisting of the crust and uppermost mantle—is divided into several large and small plates that move relative to one another. These plates float on the semi-fluid asthenosphere beneath them, driven primarily by convection currents in the mantle. Where plates meet, three main types of boundaries form: convergent (plates collide, creating mountains and subduction zones), divergent (plates separate, forming rifts and mid-ocean ridges), and transform (plates slide past each other, causing earthquakes). This continuous movement, occurring at rates of 1-15 cm annually, explains diverse geological phenomena including mountain formation, earthquakes, volcanic activity, and continental drift. Developed in the 1960s, plate tectonics revolutionized our understanding of Earth's dynamic surface.",Anthropic
D2-8,"Plate tectonics is a fundamental scientific theory explaining the large-scale movements of Earth's lithosphere. Our planet's rigid outer shell is not a single piece but is broken into several large and smaller plates, comprising both continental and oceanic crust. These colossal plates are constantly, albeit slowly, gliding over the semi-fluid asthenosphere below them, driven primarily by convection currents within Earth's mantle. The interactions at plate boundaries are responsible for most of the major geological features and phenomena we observe. Where plates pull apart, new crust is formed; where they collide, mountains rise and one plate often subducts beneath another, leading to deep ocean trenches, earthquakes, and volcanic activity. This ongoing process reshapes the Earth's surface over millions of years.",Human
D2-9,"Tectonic plates are relatively rigid and float across the ductile asthenosphere beneath. Lateral density variations in the mantle result in convection currents, the slow creeping motion of Earth's solid mantle. At a seafloor spreading ridge, plates move away from the ridge, and the newly formed crust cools as it moves away, increasing its density and contributing to the motion. At a subduction zone, the relatively cold, dense oceanic crust sinks down into the mantle, forming the downward convecting limb of a mantle cell, which is the strongest driver of plate motion. The relative importance and interaction of other proposed factors such as active convection, upwelling inside the mantle, and tidal drag of the Moon is still the subject of debate.",Human
D2-10,"At present, young oceanic lithosphere is positively buoyant, and it does not become negatively buoyant until it is older than about 20 m.y. If, in the past, the mantle was hotter, the oceanic crust would have been thicker and the lithosphere's age of neutral buoyancy greater. On the other hand, the hotter mantle would have had a lower viscosity and convected faster, so the average age of oceanic plates at subduction would have been less than the present 100 m.y. At some time in the past, average oceanic lithosphere would have only just become negatively buoyant as it reached a subduction zone.",Anthropic
