ID;Label
D2-101;Human
D2-102;Human
D2-103;Human
D2-104;Anthropic
D2-105;Google
D2-106;Google
D2-107;Meta
D2-108;OpenAI
D2-109;Anthropic
D2-110;Human
D2-111;Human
D2-112;Google
D2-113;Meta
D2-114;Google
D2-115;Meta
D2-116;Google
D2-117;Meta
D2-118;Anthropic
D2-119;Human
D2-120;Meta
D2-121;OpenAI
D2-122;Human
D2-123;Meta
D2-124;Human
D2-125;OpenAI
D2-126;Human
D2-127;Human
D2-128;Anthropic
D2-129;Human
D2-130;Google
D2-131;Meta
D2-132;OpenAI
D2-133;Anthropic
D2-134;Human
D2-135;Google
D2-136;Human
D2-137;Meta
D2-138;Human
D2-139;Human
D2-140;Meta
D2-141;Meta
D2-142;Human
D2-143;Meta
D2-144;Meta
D2-145;Meta
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;OpenAI
D3-1;Google
D3-2;Human
D3-3;Google
D3-4;Meta
D3-5;Google
D3-6;Human
D3-7;Anthropic
D3-8;Anthropic
D3-9;OpenAI
D3-10;Meta
D3-11;Meta
D3-12;Google
D3-13;Anthropic
D3-14;Meta
D3-15;Google
D3-16;Human
D3-17;Human
D3-18;Human
D3-19;Human
D3-20;Google
D3-21;Human
D3-22;OpenAI
D3-23;Human
D3-24;OpenAI
D3-25;Human
D3-26;Meta
D3-27;Meta
D3-28;Human
D3-29;Meta
D3-30;Google
D3-31;Human
D3-32;Anthropic
D3-33;Google
D3-34;Meta
D3-35;Human
D3-36;Google
D3-37;Google
D3-38;Google
D3-39;Meta
D3-40;Meta
D3-41;Google
D3-42;Human
D3-43;Meta
D3-44;Human
D3-45;Google
D3-46;Meta
D3-47;OpenAI
D3-48;Anthropic
D3-49;Meta
D3-50;Google
D3-51;Human
D3-52;Anthropic
D3-53;Meta
D3-54;Human
D3-55;Meta
D3-56;Google
D3-57;Google
D3-58;Human
D3-59;Human
D3-60;Human
D3-61;Human
D3-62;Human
D3-63;Anthropic
D3-64;Human
D3-65;Meta
D3-66;Google
D3-67;Google
D3-68;Meta
D3-69;Meta
D3-70;Meta
D3-71;Human
D3-72;Anthropic
D3-73;Google
D3-74;Meta
D3-75;Google
D3-76;Human
D3-77;Human
D3-78;Meta
D3-79;Meta
D3-80;Meta
D3-81;Google
D3-82;Google
D3-83;Meta
D3-84;OpenAI
D3-85;Human
D3-86;Human
D3-87;Human
D3-88;Human
D3-89;Human
D3-90;Google
D3-91;Google
D3-92;Meta
D3-93;Human
D3-94;Human
D3-95;Human
D3-96;Meta
D3-97;Meta
D3-98;Google
D3-99;Google
D3-100;Human
