ID;Text;Label
D2-2992;Diffusion is the net movement of particles from an area of higher concentration to an area of lower concentration. This passive process occurs due to the random kinetic energy of the particles, causing them to constantly collide and scatter. Over time, these random movements result in a net migration down the concentration gradient until the particles are uniformly distributed throughout the available space. At equilibrium, particles still move randomly, but there is no net change in concentration. It's fundamental in processes like gas exchange in lungs, scent spreading, and nutrient transport in cells, working towards a state of maximum entropy.;Google
D2-1054;Gastrulation is the embryonic process by which a single-layer blastula reorganizes into a multilayered structure with three germ layers: ectoderm, mesoderm, and endoderm. Through coordinated cell movements, cells move inward or spread outward, creating the body’s future axis. In many species, a primitive streak forms and cells ingress at its surface to become mesoderm and endoderm, while ectoderm remains external. This rearrangement establishes the notochord, neural tube, and future connective and internal organs. Signaling interactions among Wnt, BMP, FGF, and Nodal pathways guide cell fates and axis formation, initiating tissue specification and organogenesis.;OpenAI
D2-3102;"Virtual memory is an operating system technique that provides an ""idealized"" view of memory to applications, abstracting physical RAM. Each program perceives a large, contiguous, private address space, often exceeding the computer's actual physical memory. The operating system, supported by the Memory Management Unit (MMU), translates these virtual addresses into physical RAM locations. If a program tries to access data not currently in physical memory, the OS retrieves it from slower storage (like a hard drive) through a process called paging or swapping. This mechanism allows for more efficient use of available memory, enables memory protection between processes, and simplifies memory management for developers.";Google
D2-1207;Earth's atmosphere is a crucial layer of gases enveloping our planet, held in place by gravity. This vital blanket comprises primarily nitrogen (about 78%) and oxygen (about 21%), with trace amounts of argon, carbon dioxide, and other gases. It protects life by absorbing harmful ultraviolet solar radiation and moderating temperatures between day and night. The atmosphere also facilitates the water cycle, weather phenomena, and allows sound to travel. Without this protective sheath, Earth would be a barren, lifeless world with extreme temperature swings, making it inhospitable for the diverse ecosystems we observe today.;Google
D2-399;"The Zeeman effect is the splitting of atomic spectral lines when atoms are placed in an external magnetic field. It arises from the interaction between the magnetic dipole moments of electrons, due to orbital and spin angular momentum, and the applied field. Energy levels with the same principal quantum number divide into sublevels with magnetic quantum number mJ, causing shifts ΔE = gJ μB mJ B. Transitions between sublevels produce multiple components: π (ΔmJ=0) and σ± (ΔmJ=±1). Normal Zeeman gives three lines; anomalous Zeeman, caused by spin, yields more. Strong fields enter the Paschen-Back regime, while line spacings scale with B.";OpenAI
D2-1797;Scintillators are materials that emit light when struck by ionizing radiation like X-rays, gamma rays, or energetic particles. This process, known as scintillation, begins with the absorption of the radiation's energy, which excites electrons within the material to higher energy states. As these excited electrons return to their lower, more stable energy levels, they release this excess energy in the form of photons—light particles, typically in the visible or ultraviolet spectrum. This emitted light is then detected by sensitive devices like photomultiplier tubes or photodiodes, effectively converting invisible radiation into a measurable electrical signal. They are vital in medical imaging, radiation detection, and security applications.;Google
D2-1768;Nuclear Magnetic Resonance (NMR) is a spectroscopic technique used to analyze the structure of molecules. It relies on the principle that nuclei with magnetic properties (isotopes) interact with a magnetic field and absorb specific energies. The nuclei absorb energy and flip their magnetic spin, producing a unique signal. This signal is measured and used to determine the chemical structure of the molecule. By analyzing the intensity, frequency, and relaxation time of the signal, NMR spectroscopy can provide detailed information about molecular configurations, including bond structure and molecular dynamics. It's widely used in chemistry, physics, and materials science for research and development applications.;Meta
D2-2929;An FPGA is a programmable silicon device composed of an array of reconfigurable logic blocks, programmable interconnects, and embedded resources. Users implement digital designs by configuring logic blocks containing look-up tables, flip-flops, and small arithmetic elements, then mapping connections through a rich routing fabric. Unlike fixed-function ASICs, FPGAs are reprogrammable, enabling rapid prototyping and customization without fabrication. Designs are described in hardware description languages and transformed by synthesis, placement, and routing into a bitstream that configures the device. FPGAs support parallelism, pipelining, and partial reconfiguration for accelerators, signal processing, and adaptable control systems.;OpenAI
D2-190;# Quantum Mechanics  At the subatomic level, particles behave fundamentally differently from everyday objects. Quantum mechanics describes how electrons, photons, and other particles exist in probability states rather than definite positions. The uncertainty principle, formulated by Heisenberg, states that certain properties like position and momentum cannot be simultaneously known precisely. Particles can occupy multiple states simultaneously through superposition, collapsing into one state only upon measurement. Quantum entanglement allows particles to remain mysteriously connected across distances. These counterintuitive principles govern atomic structure, chemical bonding, and semiconductor function. Despite its abstract nature, quantum mechanics provides extraordinarily accurate predictions and forms the foundation for modern technology, from lasers to computer chips.;Anthropic
D2-4089;"Combinatorics is the branch of mathematics concerned with counting, arrangement, and combination in sets of objects under given constraints. It explores how many ways items can be chosen, ordered, or partitioned, often using systematic rules rather than explicit enumeration. Core ideas include permutations, which consider order; combinations, which ignore order; and partitions, which split a set into blocks. Fundamental principles such as the product rule, addition rule, and the principle of inclusion and exclusion underpin many results. Techniques include constructive counting, generating functions, recurrences, and bijective proofs. Applications appear in computer science, probability, coding theory, and optimization, where efficient counting informs design and analysis.";OpenAI
